283;"121010001004504000050"
288;"0240200801000000"
289;"0980844201000000"
290;"1000812902000000"
291;"0920675117000000"
292;"0920675113000000"
293;"1000808303000000"
294;"0380414004000000"
300;"0380430004000000"
301;"1011542505000000"
302;"0860106102000000"
306;"015013310102CINE"
307;"015013310102SAE1"
308;"0150133101020SAQ"
309;"0150133101020SAM"
310;"0150133101020SAL"
311;"0150133101020SAK"
312;"0150133101020SAJ"
313;"0150133101020SAI"
314;"0930517402000000"
318;"0150133101020SAG"
319;"0150133101020SAA"
320;"015013310102SAE4"
321;"015013310102SAE3"
322;"1211104401000000"
368;"1210426205000000"
373;"1210426212000000"
375;"1210426213000000"
408;"0081385023000000"
451;"0980861835000000"
503;"0920710211000000"
504;"0860474610000000"
504;"0980779201L30008"
507;"0860101506000000"
509;"1211038203000000"
511;"1010174608000000"
513;"0980161610000000"
513;"0980161611000000"
519;"0380410005000000"
519;"0380410007000000"
520;"0380410007000000"
520;"0380410005000000"
521;"0380410007000000"
521;"0380410005000000"
522;"0380410007000000"
522;"0380410005000000"
523;"0380410005000000"
523;"0380410007000000"
525;"1210810623000000"
529;"0380441140000000"
533;"0860107005000000"
540;"0380442103000000"
541;"0380437017000000"
587;"0380722502000000"
588;"0990243589000000"
592;"0380441026000000"
592;"0380430204000000"
606;"0380437001000000"
612;"0380929055000000"
619;"0010701204000000"
620;"0010701201000000"
621;"0380727518000000"
624;"0380727509000000"
625;"0380727505000000"
632;"0600114901000000"
632;"0600111301000000"
632;"0600111102000000"
632;"0600104121000000"
632;"0600140202000000"
632;"0600115101000000"
633;"0380722501000000"
648;"0380930003000000"
657;"0980146611000000"
657;"0980146601000000"
658;"0380726001000000"
659;"0380726001000000"
660;"0380726001000000"
661;"0380726001000000"
669;"0081105021000000"
669;"0081100425000000"
669;"0081105024000000"
669;"0081105025000000"
669;"0081105011000000"
684;"0380417005000000"
684;"0380417004000000"
691;"0380726001000000"
699;"0920306301000000"
702;"0830340601000000"
714;"1011542202000000"
715;"0030304616000000"
715;"0030307104000000"
715;"0030304614000000"
715;"0030304618000000"
724;"0980806012000000"
724;"0980806003000000"
726;"0081100505000000"
730;"0380410004000000"
730;"0380414001000000"
733;"0980139902000000"
734;"0980139903000000"
735;"0980139907000000"
736;"0980139908000000"
737;"0980139909000000"
745;"0980871838000000"
751;"0980161004000000"
751;"0980160939000000"
751;"0980160951000000"
751;"0980160901000000"
751;"0980160940000000"
760;"0930103201010003"
783;"0380929104000000"
783;"0380929051000000"
783;"0380930016000000"
785;"1010740104000000"
799;"1030117803000000"
799;"1030117807000000"
799;"1030127829000000"
799;"1030117867000000"
803;"0380909909000000"
803;"0380909910000000"
803;"0380909908000000"
803;"0380909906000000"
811;"0860451303000000"
815;"0980160601000000"
842;"0980880701000000"
856;"1011543029000000"
856;"1011541907000000"
856;"1011821805000000"
856;"1011821004000000"
857;"1011541106000000"
857;"1211104306000000"
857;"0980121801000000"
857;"1011540037000000"
857;"1011821015000000"
857;"1011542005000000"
857;"1011540901000000"
857;"0060110503000000"
857;"1011542006000000"
857;"1011542007000000"
858;"1012051901000000"
859;"0980122301000000"
860;"0920503503000000"
861;"0920652601000000"
869;"0980171205000000"
869;"0980171204000000"
878;"0921200102000000"
882;"0980105236000000"
890;"0980369905000000"
891;"0920703633000000"
908;"0921224312000000"
910;"1210452106000000"
910;"1210452105000000"
932;"0980147622000000"
933;"0050142904000000"
934;"0980122804000000"
941;"0382202324000000"
941;"0382202333000000"
941;"0382202332000000"
941;"0382202322000000"
941;"0382202328000000"
941;"0382202321000000"
941;"0382202325000000"
942;"0030205707000000"
942;"0030205706000000"
953;"0942314502000000"
957;"095142954201A602"
958;"0980140501000000"
965;"0980160306000000"
966;"0380815008000000"
967;"0980160307000000"
971;"1010761102000000"
971;"1010725705000000"
971;"1010761103000000"
971;"1010761104000000"
973;"1011541901000000"
974;"095101051000000"
978;"1010730105000000"
978;"1010719513000000"
978;"1010740201000000"
978;"1010728505000000"
978;"1010730101000000"
978;"1010718105000000"
978;"1010730104000000"
978;"1010730102000000"
978;"1010730103000000"
978;"1010719514000000"
978;"1010719512000000"
978;"1010719505000000"
978;"1010719511000000"
986;"0060110304000000"
988;"1210440156000000"
989;"0980137141000000"
1021;"1210446029000000"
1021;"1210446027000000"
1028;"0920831016000000"
1029;"1211032001000000"
1029;"1211032002000000"
1031;"0980169901000000"ok
1031;"0980153807000000"ok
1031;"1010178801000000"ok
1031;"1010178804000000"ok
1033;"1000693202000000"ok
1034;"1000693201000000"ok
1041;"0980171201000000"ok
1041;"0980171213000000"ok
1096;"0470813410000000"ok
1096;"0470813490000000"ok
1105;"0940900205000000"ok
1131;"0980122111000000"ok
